Temperature,Humidity,Pressure,WindSpeed,CloudCover,Weather
25.8,49,998,7.7,33,Sunny
30.9,97,1006,14.8,57,Cloudy
34.0,81,1025,5.4,75,Rainy
26.7,72,1016,11.5,38,Sunny
16.4,61,998,10.7,26,Sunny
33.3,91,1010,16.5,32,Sunny
38.1,55,1008,12.9,78,Cloudy
28.2,87,1004,10.6,33,Sunny
37.0,58,1001,16.0,11,Sunny
32.9,88,997,14.8,36,Sunny
17.9,79,1009,9.2,50,Cloudy
23.5,43,1010,12.5,38,Sunny
23.4,72,1001,10.4,99,Cloudy
31.2,80,1015,13.4,76,Cloudy
15.7,72,1021,3.0,99,Cloudy
25.5,51,996,12.2,37,Sunny
30.2,67,998,13.2,70,Cloudy
38.5,54,999,9.5,16,Sunny
36.9,61,1025,11.4,82,Cloudy
26.1,73,1021,16.7,4,Sunny
15.0,42,1011,8.5,15,Sunny
15.3,88,1024,17.0,75,Rainy
16.4,77,1020,6.5,11,Sunny
20.0,60,1014,5.1,49,Cloudy
38.9,57,1022,13.5,80,Cloudy
20.5,71,1008,2.5,63,Cloudy
36.8,58,1025,16.6,54,Cloudy
26.0,83,1025,5.6,95,Rainy
30.7,80,996,1.8,37,Sunny
30.0,51,997,17.1,14,Sunny
18.0,97,1016,15.9,93,Rainy
31.0,47,1010,0.5,29,Sunny
16.5,88,1023,7.9,94,Rainy
34.7,97,1003,1.2,7,Sunny
32.6,86,1006,9.1,37,Sunny
31.6,89,1004,3.2,46,Cloudy
21.6,78,1009,11.4,6,Sunny
38.3,68,1019,8.1,7,Sunny
24.6,73,1008,12.3,18,Sunny
25.4,63,997,15.9,68,Cloudy
33.7,81,1018,16.3,7,Sunny
22.0,65,1010,1.3,35,Sunny
36.9,50,1014,10.6,78,Cloudy
32.8,84,1015,10.1,31,Sunny
18.3,55,1018,3.2,87,Cloudy
34.3,68,999,3.3,21,Sunny
23.4,94,1000,9.8,93,Rainy
27.9,77,997,8.3,92,Cloudy
26.2,62,1014,8.0,76,Cloudy
37.9,95,1001,15.9,1,Sunny
31.1,76,1003,2.5,71,Cloudy
21.1,72,1020,17.0,70,Cloudy
27.6,74,999,8.1,11,Sunny
34.6,93,1013,4.1,75,Rainy
26.6,55,1018,5.0,92,Cloudy
23.7,51,1003,3.0,19,Sunny
32.5,66,1022,10.9,89,Cloudy
29.6,83,1016,6.3,67,Cloudy
38.9,70,1001,9.6,48,Cloudy
16.2,83,1005,10.6,45,Cloudy
18.4,82,999,17.1,88,Rainy
31.6,68,1004,15.3,52,Cloudy
36.3,84,1006,2.1,70,Cloudy
36.6,75,1012,13.0,94,Cloudy
38.3,75,1024,14.0,97,Cloudy
37.6,72,1022,3.9,41,Cloudy
29.7,44,1022,4.6,78,Cloudy
35.2,75,1008,15.5,43,Cloudy
36.0,85,1004,7.9,24,Sunny
22.5,90,1019,8.5,61,Cloudy
21.1,70,1006,4.7,29,Sunny
22.3,42,1023,1.0,1,Sunny
21.4,99,997,14.3,34,Sunny
24.8,52,1019,16.0,70,Cloudy
26.6,58,1011,14.3,24,Sunny
25.8,74,1011,12.4,88,Cloudy
36.1,50,1008,0.9,29,Sunny
24.7,50,1008,15.4,68,Cloudy
28.5,67,1019,2.5,16,Sunny
18.3,43,1009,7.8,51,Cloudy
39.8,80,1024,7.2,66,Cloudy
17.0,63,1025,4.6,50,Cloudy
36.5,40,1011,12.6,44,Cloudy
36.5,67,995,3.0,31,Sunny
31.3,51,1007,1.5,5,Sunny
34.6,75,995,14.2,5,Sunny
22.2,52,1018,11.1,88,Cloudy
16.6,66,1009,14.6,21,Sunny
21.5,98,1011,6.0,16,Sunny
22.3,99,1019,0.5,77,Rainy
25.7,49,997,0.8,38,Sunny
31.2,78,1007,15.8,51,Cloudy
26.1,93,997,15.7,86,Rainy
38.2,85,1020,5.8,100,Rainy
26.0,40,1011,0.9,30,Sunny
16.8,95,1005,12.1,76,Rainy
31.2,61,1019,7.0,85,Cloudy
29.6,51,1025,9.4,89,Cloudy
17.1,42,1004,7.5,25,Sunny
29.5,78,1014,3.7,46,Cloudy
20.1,75,1017,14.9,92,Cloudy
34.6,50,995,5.6,70,Cloudy
28.9,54,1002,6.1,37,Sunny
23.8,59,1014,14.4,68,Cloudy
15.3,42,1004,4.3,29,Sunny
34.5,73,1017,17.7,13,Sunny
38.2,81,1009,2.0,67,Cloudy
38.7,98,997,8.0,18,Sunny
19.3,66,1006,5.9,45,Cloudy
35.9,95,1024,13.7,86,Rainy
20.0,43,1010,7.3,3,Sunny
17.6,53,1009,2.7,70,Cloudy
16.1,99,1013,6.5,73,Rainy
34.8,48,998,15.4,10,Sunny
32.5,49,1024,6.7,7,Sunny
37.8,71,1017,11.0,29,Sunny
18.1,47,1009,4.8,95,Cloudy
32.4,70,1020,13.4,44,Cloudy
34.8,54,1013,6.0,67,Cloudy
31.1,62,1009,17.9,59,Cloudy
21.1,64,999,1.4,88,Cloudy
38.6,79,998,6.0,99,Cloudy
15.7,47,1019,15.5,29,Sunny
35.4,59,1018,1.2,93,Cloudy
39.6,75,1009,3.7,78,Cloudy
29.1,93,1013,13.8,96,Rainy
35.8,100,1025,10.4,66,Cloudy
39.4,85,1009,8.0,79,Rainy
20.4,92,997,2.0,17,Sunny
26.5,98,998,15.6,92,Rainy
19.6,66,998,17.3,42,Cloudy
35.3,78,1024,13.5,22,Sunny
16.8,80,999,17.9,49,Cloudy
25.9,72,999,5.9,96,Cloudy
22.3,43,1004,16.1,47,Cloudy
37.5,52,1003,11.2,75,Cloudy
21.8,73,1009,11.6,48,Cloudy
